,1stFlrSF,2ndFlrSF,3SsnPorch,bedroomabvgr,bsmtfinsf1,bsmtfinsf2,bsmtfullbath,bsmthalfbath,bsmtunfsf,enclosedporch,fireplaces,fullbath,garagearea,garagecars,garageyrblt,grlivarea,halfbath,kitchenabvgr,lotarea,lotfrontage,lowqualfinsf,masvnrarea,miscval,mosold,mssubclass,openporchsf,overallcond,overallqual,poolarea,saleprice,screenporch,totalbsmtsf,totrmsabvgrd,wooddecksf,yearbuilt,yearremodadd,yrsold,alley,bldgtype,bsmtcond,bsmtexposure,bsmtfintype1,bsmtfintype2,bsmtqual,centralair,condition1,condition2,electrical,extercond,exterior1st,exterior2nd,exterqual,fence,fireplacequ,foundation,functional,garagecond,garagefinish,garagequal,garagetype,heating,heatingqc,housestyle,kitchenqual,landcontour,landslope,lotconfig,lotshape,masvnrtype,miscfeature,mszoning,neighborhood,paveddrive,poolqc,roofmatl,roofstyle,salecondition,saletype,street,utilities
236,483,504,0,2,358,0,0,0,125,0,0,1,264,1,1971.0,987,1,1,1680,21.0,0,604.0,0,8,160,0,3,6,0,89500,0,483,5,0,1971,1971,2008,Grvl,TwnhsE,TA,No,ALQ,Unf,TA,Y,Norm,Norm,SBrkr,TA,HdBoard,HdBoard,TA,MnPrv,Gd,CBlock,Typ,TA,Unf,TA,Detchd,GasA,TA,2Story,TA,Lvl,Gtl,Inside,Reg,BrkFace,Shed,RM,BrDale,Y,Gd,CompShg,Gable,Normal,WD,Pave,AllPub
237,1414,0,0,3,24,0,0,0,1390,0,0,2,494,2,2004.0,1414,0,1,8773,65.0,0,98.0,0,5,20,105,5,7,0,185500,0,1414,6,132,2004,2004,2010,Grvl,1Fam,TA,Av,GLQ,Unf,Gd,Y,Norm,Norm,SBrkr,TA,VinylSd,VinylSd,Gd,MnPrv,Gd,PConc,Typ,TA,RFn,TA,Attchd,GasA,Ex,1Story,Gd,Lvl,Gtl,FR2,Reg,BrkFace,Shed,RL,CollgCr,Y,Gd,CompShg,Gable,Normal,WD,Pave,AllPub
238,1014,730,238,3,402,0,0,0,594,0,0,2,457,2,1993.0,1744,1,1,9453,70.04995836802665,0,0.0,0,2,60,70,7,7,0,194500,0,996,7,370,1993,2003,2010,Grvl,1Fam,TA,No,BLQ,Unf,Gd,Y,RRNe,Norm,SBrkr,TA,HdBoard,HdBoard,Gd,MnPrv,Gd,PConc,Typ,TA,RFn,TA,Attchd,GasA,Ex,2Story,Gd,Lvl,Gtl,CulDSac,IR1,None,Shed,RL,SawyerW,Y,Gd,CompShg,Gable,Normal,WD,Pave,AllPub
239,1694,0,0,3,0,0,0,0,1694,0,0,2,818,3,2007.0,1694,0,1,12030,93.0,0,254.0,0,12,20,228,5,8,0,318000,0,1694,7,168,2007,2007,2007,Grvl,1Fam,TA,No,Unf,Unf,Ex,Y,Norm,Norm,SBrkr,TA,VinylSd,VinylSd,Ex,MnPrv,Gd,PConc,Typ,TA,Fin,TA,Attchd,GasA,Ex,1Story,Gd,Lvl,Gtl,Inside,Reg,BrkFace,Shed,RL,NridgHt,Y,Gd,CompShg,Hip,Partial,New,Pave,AllPub
240,798,689,0,3,94,0,0,0,641,0,1,1,220,1,1949.0,1487,1,1,8741,52.0,0,0.0,0,4,50,140,4,6,0,113000,0,735,7,0,1945,1950,2010,Grvl,1Fam,Fa,No,LwQ,Unf,TA,Y,Norm,Norm,FuseA,TA,VinylSd,VinylSd,TA,MnPrv,Gd,CBlock,Typ,TA,Unf,TA,Detchd,GasA,TA,1.5Fin,TA,Lvl,Gtl,Inside,Reg,None,Shed,RL,Edwards,Y,Gd,CompShg,Gable,Normal,WD,Pave,AllPub
241,1566,0,0,3,1078,0,1,0,488,0,0,2,750,2,2008.0,1566,0,1,9000,75.0,0,36.0,0,4,20,168,5,8,0,262500,0,1566,7,144,2008,2008,2010,Grvl,1Fam,TA,Av,GLQ,Unf,Gd,Y,Norm,Norm,SBrkr,TA,VinylSd,VinylSd,Gd,MnPrv,Gd,PConc,Typ,TA,RFn,TA,Attchd,GasA,Ex,1Story,Gd,Lvl,Gtl,Inside,Reg,Stone,Shed,FV,Somerst,Y,Gd,CompShg,Gable,Normal,WD,Pave,AllPub
242,866,0,0,2,329,0,0,0,357,0,0,1,0,0,1978.5061638868744,866,0,1,3880,40.0,0,0.0,0,8,30,42,9,5,0,110500,0,686,4,58,1945,1997,2007,Grvl,1Fam,TA,No,ALQ,Unf,TA,Y,Norm,Norm,SBrkr,Gd,VinylSd,VinylSd,TA,MnPrv,Gd,CBlock,Typ,TA,Unf,TA,Attchd,GasA,Gd,1Story,Gd,Lvl,Gtl,Inside,Reg,None,Shed,RM,OldTown,Y,Gd,CompShg,Gable,Normal,WD,Pave,AllPub
243,889,551,0,3,0,0,0,0,540,77,0,1,352,1,1940.0,1440,0,1,5000,63.0,0,0.0,0,4,50,0,4,5,0,79000,0,540,6,0,1900,1950,2006,Grvl,1Fam,TA,No,Unf,Unf,TA,N,Norm,Norm,FuseA,TA,Wd Sdng,Wd Sdng,TA,MnPrv,Gd,BrkTil,Typ,TA,Unf,Fa,Attchd,GasA,Gd,1.5Fin,TA,Lvl,Gtl,Corner,Reg,None,Shed,RM,OldTown,Y,Gd,CompShg,Gable,Normal,WD,Pave,AllPub
244,626,591,0,3,0,0,0,0,626,0,1,1,288,1,1980.0,1217,1,1,10762,75.0,0,0.0,0,4,160,28,6,6,0,120000,0,626,6,0,1980,1980,2009,Grvl,TwnhsE,TA,No,Unf,Unf,Gd,Y,Norm,Norm,SBrkr,TA,Plywood,Plywood,TA,MnPrv,TA,CBlock,Typ,TA,RFn,TA,Attchd,GasA,TA,2Story,TA,Lvl,Gtl,Corner,Reg,None,Shed,RL,SawyerW,Y,Gd,CompShg,Gable,Normal,WD,Pave,AllPub
245,1222,888,0,3,695,0,1,0,253,0,2,2,463,2,1994.0,2110,1,1,8880,70.04995836802665,0,0.0,0,5,60,130,5,7,0,205000,0,948,8,0,1994,2002,2010,Grvl,1Fam,TA,No,GLQ,Unf,Gd,Y,Norm,Norm,SBrkr,TA,VinylSd,VinylSd,Gd,MnPrv,Fa,PConc,Typ,TA,RFn,TA,Attchd,GasA,Ex,2Story,Gd,Lvl,Gtl,Inside,IR1,None,Shed,RL,SawyerW,Y,Gd,CompShg,Gable,Normal,WD,Pave,AllPub
246,1872,0,0,3,929,0,0,1,916,0,1,2,604,2,1988.0,1872,0,1,10400,80.0,0,102.0,0,6,20,39,5,7,0,241500,0,1845,6,197,1988,1988,2006,Grvl,1Fam,TA,Av,GLQ,Unf,Gd,Y,Norm,Norm,SBrkr,TA,Wd Sdng,Wd Sdng,TA,MnPrv,TA,CBlock,Typ,TA,Fin,TA,Attchd,GasA,Gd,1Story,TA,Lvl,Gtl,Inside,Reg,BrkFace,Shed,RL,NWAmes,Y,Gd,CompShg,Gable,Normal,WD,Pave,AllPub
247,908,1020,0,4,0,0,0,0,1020,112,0,2,440,1,1910.0,1928,0,2,9142,69.0,0,0.0,0,4,190,60,8,6,0,137000,0,1020,9,0,1910,1950,2006,Grvl,2fmCon,TA,No,Unf,Unf,Fa,N,Norm,Norm,FuseP,Fa,AsbShng,AsbShng,TA,MnPrv,Gd,Stone,Typ,Po,Unf,Po,Detchd,GasA,Gd,2Story,Fa,Lvl,Gtl,Inside,Reg,None,Shed,RM,OldTown,Y,Gd,CompShg,Gable,Normal,WD,Pave,AllPub
248,1375,0,0,2,0,0,0,0,1367,0,1,1,451,2,1954.0,1375,0,1,11310,75.0,0,0.0,0,6,20,30,5,6,0,140000,0,1367,5,0,1954,1954,2006,Grvl,1Fam,TA,No,Unf,Unf,TA,Y,Norm,Norm,SBrkr,TA,Wd Sdng,BrkFace,TA,MnPrv,TA,CBlock,Typ,TA,Unf,TA,Attchd,GasA,Ex,1Story,TA,Lvl,Gtl,Inside,Reg,None,Shed,RL,NAmes,Y,Gd,CompShg,Hip,Normal,WD,Pave,AllPub
249,840,828,0,3,0,0,0,0,840,0,0,2,500,2,2003.0,1668,1,1,11317,72.0,0,101.0,0,9,60,68,5,7,0,180000,0,840,8,144,2003,2003,2007,Grvl,1Fam,TA,No,Unf,Unf,Gd,Y,Norm,Norm,SBrkr,TA,VinylSd,VinylSd,Gd,MnPrv,Gd,PConc,Typ,TA,RFn,TA,Attchd,GasA,Ex,2Story,Gd,Lvl,Gtl,Inside,Reg,BrkFace,Shed,RL,CollgCr,Y,Gd,CompShg,Gable,Normal,WD,Pave,AllPub
250,1444,700,0,4,697,0,0,1,747,0,2,2,389,2,1958.0,2144,0,1,159000,70.04995836802665,0,472.0,500,6,50,98,7,6,0,277000,0,1444,7,0,1958,2006,2007,Grvl,1Fam,TA,Gd,Rec,Unf,Gd,Y,Norm,Norm,SBrkr,TA,Wd Sdng,HdBoard,Gd,MnPrv,TA,CBlock,Typ,TA,Fin,TA,Attchd,GasA,Gd,1.5Fin,Gd,Low,Sev,CulDSac,IR2,BrkCmn,Shed,RL,ClearCr,Y,Gd,CompShg,Gable,Normal,WD,Pave,AllPub
251,1306,0,0,3,0,0,0,0,728,0,0,1,0,0,1978.5061638868744,1306,0,1,5350,55.0,0,0.0,450,5,30,0,2,3,0,76500,0,728,6,263,1940,1966,2010,Grvl,1Fam,TA,No,Unf,Unf,TA,Y,Norm,Norm,SBrkr,Po,Wd Sdng,Plywood,TA,GdWo,Gd,CBlock,Mod,TA,Unf,TA,Attchd,GasA,Ex,1Story,Fa,Lvl,Gtl,Inside,IR1,None,Shed,RL,BrkSide,Y,Gd,CompShg,Gable,Normal,WD,Pave,AllPub
252,1625,0,0,2,1573,0,1,1,0,0,1,2,538,2,2006.0,1625,0,1,4750,44.0,0,481.0,0,12,120,0,5,8,0,235000,153,1573,5,123,2006,2007,2007,Grvl,TwnhsE,TA,Gd,GLQ,Unf,Gd,Y,Norm,Norm,SBrkr,TA,VinylSd,VinylSd,Gd,MnPrv,Gd,PConc,Typ,TA,Fin,TA,Attchd,GasA,Ex,1Story,Gd,HLS,Mod,Inside,IR1,Stone,Shed,RM,Crawfor,Y,Gd,CompShg,Hip,Family,WD,Pave,AllPub
253,798,842,0,3,0,0,0,0,798,0,0,2,520,2,2004.0,1640,1,1,8366,65.0,0,0.0,0,12,60,45,5,6,0,173000,0,798,6,138,2004,2004,2008,Grvl,1Fam,TA,No,Unf,Unf,Gd,Y,Norm,Norm,SBrkr,TA,VinylSd,VinylSd,Gd,MnPrv,Gd,PConc,Typ,TA,RFn,TA,Attchd,GasA,Ex,2Story,Gd,Lvl,Gtl,Inside,IR1,None,Shed,RL,SawyerW,Y,Gd,CompShg,Gable,Normal,WD,Pave,AllPub
254,1302,0,0,3,270,580,0,1,452,0,0,2,309,1,1964.0,1302,0,1,9350,85.0,0,108.0,0,10,80,0,7,6,0,158000,0,1302,7,333,1964,1991,2007,Grvl,1Fam,TA,Gd,LwQ,ALQ,Gd,Y,Norm,Norm,SBrkr,TA,HdBoard,HdBoard,TA,MnPrv,Gd,CBlock,Min1,TA,RFn,TA,Attchd,GasA,Ex,SLvl,Gd,Lvl,Gtl,Inside,Reg,BrkFace,Shed,RL,NAmes,Y,Gd,CompShg,Hip,Normal,CWD,Pave,AllPub
255,1314,0,0,3,922,0,1,0,392,0,0,1,294,1,1957.0,1314,0,1,8400,70.0,0,0.0,0,6,20,0,6,5,0,145000,0,1314,5,250,1957,1957,2010,Grvl,1Fam,TA,No,Rec,Unf,TA,Y,Norm,Norm,SBrkr,Gd,MetalSd,MetalSd,TA,MnPrv,Gd,CBlock,Typ,TA,RFn,TA,Attchd,GasA,TA,1Story,TA,Lvl,Gtl,Inside,Reg,None,Shed,RL,NAmes,Y,Gd,CompShg,Gable,Normal,WD,Pave,AllPub
256,1005,1286,0,4,0,0,0,0,975,0,1,2,429,2,1999.0,2291,1,1,8738,66.0,0,302.0,0,2,60,0,5,7,0,230000,0,975,8,192,1999,1999,2006,Grvl,1Fam,TA,No,Unf,Unf,Gd,Y,Norm,Norm,SBrkr,TA,VinylSd,VinylSd,Gd,MnPrv,TA,PConc,Typ,TA,Fin,TA,BuiltIn,GasA,Ex,2Story,Gd,Lvl,Gtl,Inside,IR1,BrkFace,Shed,RL,Gilbert,Y,Gd,CompShg,Gable,Normal,WD,Pave,AllPub
257,864,864,0,3,503,0,0,0,361,0,0,2,673,2,2003.0,1728,1,1,8791,64.0,0,0.0,0,5,60,56,5,6,0,207500,0,864,7,216,2003,2003,2008,Grvl,1Fam,TA,No,Rec,Unf,Gd,Y,Norm,Norm,SBrkr,TA,VinylSd,VinylSd,Gd,MnPrv,Gd,PConc,Typ,TA,RFn,TA,Attchd,GasA,Ex,2Story,Gd,Lvl,Gtl,Inside,IR1,None,Shed,FV,Somerst,Y,Gd,CompShg,Gable,Normal,WD,Pave,AllPub
258,1604,0,0,3,1334,0,1,0,270,0,1,2,660,2,2006.0,1604,1,1,8814,68.0,0,180.0,0,3,20,110,5,7,0,220000,0,1604,8,123,2006,2006,2009,Grvl,1Fam,TA,No,GLQ,Unf,Gd,Y,Norm,Norm,SBrkr,TA,VinylSd,VinylSd,Gd,MnPrv,Gd,PConc,Typ,TA,RFn,TA,Attchd,GasA,Ex,1Story,Gd,Lvl,Gtl,Inside,Reg,Stone,Shed,RL,CollgCr,Y,Gd,CompShg,Gable,Abnorml,WD,Pave,AllPub
259,963,829,245,3,361,0,0,0,602,0,1,2,564,2,2001.0,1792,1,1,12435,80.0,0,172.0,0,5,60,96,5,7,0,231500,0,963,7,0,2001,2001,2008,Grvl,1Fam,TA,No,GLQ,Unf,Gd,Y,Norm,Norm,SBrkr,TA,VinylSd,VinylSd,Gd,MnPrv,TA,PConc,Typ,TA,RFn,TA,Attchd,GasA,Ex,2Story,Gd,Lvl,Gtl,Inside,Reg,BrkFace,Shed,RL,CollgCr,Y,Gd,CompShg,Gable,Normal,WD,Pave,AllPub
260,882,0,0,2,0,0,0,0,0,0,0,1,308,1,1956.0,882,0,1,12702,70.0,0,0.0,0,12,20,45,5,5,0,97000,0,0,4,0,1956,1956,2008,Grvl,1Fam,TA,No,Unf,Unf,TA,Y,Norm,Norm,FuseA,TA,BrkFace,BrkFace,TA,MnPrv,Gd,PConc,Typ,TA,Unf,TA,Detchd,GasA,Gd,1Story,TA,Lvl,Gtl,Inside,Reg,None,Shed,RM,OldTown,Y,Gd,CompShg,Gable,Normal,WD,Pave,AllPub
261,1382,0,0,3,672,690,1,0,0,252,1,1,884,2,1991.0,1382,0,1,19296,120.0,0,399.0,0,5,80,0,5,6,0,176000,0,1362,6,0,1962,1962,2009,Grvl,1Fam,TA,Gd,Rec,ALQ,TA,Y,Artery,Norm,SBrkr,TA,Wd Sdng,Wd Sdng,TA,GdWo,TA,CBlock,Typ,TA,Unf,TA,Attchd,GasA,TA,SLvl,TA,Lvl,Gtl,Corner,Reg,BrkFace,Shed,RL,NAmes,Y,Gd,CompShg,Gable,Normal,WD,Pave,AllPub
262,1482,1092,0,3,0,0,0,0,1482,0,1,2,868,3,2007.0,2574,1,1,9588,69.0,0,270.0,0,11,60,148,5,8,0,276000,0,1482,10,0,2007,2007,2007,Grvl,1Fam,TA,No,Unf,Unf,Ex,Y,Norm,Norm,SBrkr,TA,CemntBd,CmentBd,Gd,MnPrv,Gd,PConc,Typ,TA,Fin,TA,BuiltIn,GasA,Ex,2Story,Ex,Lvl,Gtl,Inside,IR1,Stone,Shed,RL,CollgCr,Y,Gd,CompShg,Gable,Partial,New,Pave,AllPub
263,1212,0,0,3,506,0,1,0,0,0,1,1,492,2,1978.0,1212,0,1,8471,88.0,0,46.0,0,7,80,12,7,6,0,151000,0,506,6,292,1977,1995,2006,Grvl,1Fam,Gd,Av,ALQ,Unf,Gd,Y,Norm,Norm,SBrkr,TA,HdBoard,Plywood,TA,GdWo,TA,CBlock,Typ,TA,Unf,TA,Attchd,GasA,TA,SLvl,TA,Lvl,Gtl,Corner,IR1,BrkFace,Shed,RL,Sawyer,Y,Gd,CompShg,Gable,Normal,WD,Pave,AllPub
264,926,0,0,3,234,692,1,0,0,0,0,1,484,2,1974.0,1316,0,1,5500,50.0,390,0.0,0,4,50,0,7,5,0,130000,0,926,6,0,1929,2001,2010,Grvl,1Fam,TA,No,LwQ,ALQ,TA,Y,Norm,Norm,SBrkr,TA,Wd Sdng,Wd Sdng,TA,MnPrv,Gd,BrkTil,Typ,TA,Unf,TA,Detchd,GasA,TA,1.5Fin,TA,Lvl,Gtl,Corner,Reg,None,Shed,RM,OldTown,Y,Gd,CompShg,Gable,Normal,WD,Pave,AllPub
265,764,0,0,2,0,0,0,0,680,0,0,1,504,2,1965.0,764,0,1,5232,30.0,0,0.0,0,6,30,0,5,5,0,73000,0,680,4,0,1925,2004,2008,Grvl,1Fam,TA,No,Unf,Unf,Fa,N,Artery,Norm,FuseP,TA,Wd Sdng,Wd Sdng,TA,MnPrv,Gd,BrkTil,Typ,TA,Unf,TA,Detchd,GasA,Gd,1Story,TA,Bnk,Gtl,Inside,IR3,None,Shed,RM,OldTown,N,Gd,CompShg,Gable,Normal,WD,Pave,AllPub
266,1422,0,0,3,588,228,0,0,606,0,1,2,576,2,1981.0,1422,0,1,12090,78.0,0,210.0,0,6,20,0,6,6,0,175500,0,1422,7,276,1981,1981,2008,Grvl,1Fam,TA,No,GLQ,LwQ,Gd,Y,Norm,Norm,SBrkr,Gd,MetalSd,MetalSd,TA,GdPrv,TA,CBlock,Typ,TA,Fin,TA,Attchd,GasA,TA,1Story,Gd,Lvl,Gtl,Inside,IR1,BrkFace,Shed,RL,NWAmes,Y,Gd,CompShg,Gable,Normal,WD,Pave,AllPub
267,802,709,0,3,714,0,1,0,88,0,1,2,413,2,1997.0,1511,1,1,11207,70.0,0,0.0,0,6,60,75,5,6,0,185000,0,802,8,95,1997,1997,2006,Grvl,1Fam,TA,Av,GLQ,Unf,Gd,Y,Norm,Norm,SBrkr,TA,VinylSd,VinylSd,TA,MnPrv,TA,PConc,Typ,TA,Fin,TA,Attchd,GasA,Gd,2Story,TA,HLS,Gtl,FR2,IR1,None,Shed,RL,Gilbert,Y,Gd,CompShg,Gable,Normal,WD,Pave,AllPub
268,1052,720,0,4,378,0,0,0,342,0,1,2,240,1,1939.0,2192,1,1,8400,60.0,420,0.0,0,7,75,24,8,5,0,179500,0,720,8,262,1939,1997,2008,Grvl,1Fam,TA,No,LwQ,Unf,TA,Y,Norm,Norm,SBrkr,TA,Wd Sdng,Wd Sdng,TA,MnPrv,Gd,PConc,Typ,TA,Unf,TA,Detchd,GasA,Ex,2.5Fin,Gd,Bnk,Mod,Inside,Reg,None,Shed,RL,SWISU,Y,Gd,CompShg,Gable,Normal,WD,Pave,AllPub
269,778,0,0,2,403,125,0,0,212,0,1,1,924,1,1966.0,778,0,1,6900,71.0,0,0.0,0,2,30,25,6,5,0,120500,0,740,4,0,1940,1955,2008,Grvl,1Fam,TA,No,ALQ,Rec,TA,Y,Norm,Norm,SBrkr,TA,VinylSd,VinylSd,TA,MnPrv,Gd,CBlock,Typ,Ex,Fin,Ex,Detchd,GasA,Ex,1Story,TA,Lvl,Gtl,Inside,Reg,None,Shed,RM,IDOTRR,Y,Gd,CompShg,Gable,Normal,WD,Pave,AllPub
270,1113,0,0,3,751,0,1,0,392,0,1,1,504,1,1987.0,1113,1,1,7917,70.04995836802665,0,174.0,0,5,20,30,7,6,0,148000,0,1143,6,370,1976,1976,2007,Grvl,1Fam,Gd,No,BLQ,Unf,TA,Y,Norm,Norm,SBrkr,Gd,HdBoard,HdBoard,TA,GdPrv,Fa,CBlock,Typ,Gd,RFn,TA,Attchd,GasA,TA,1Story,TA,Lvl,Gtl,Corner,IR1,BrkFace,Shed,RL,Edwards,Y,Gd,CompShg,Hip,Normal,WD,Pave,AllPub
271,1095,844,0,3,0,0,0,0,1095,0,1,2,1053,3,2006.0,1939,1,1,10728,84.0,0,0.0,0,8,60,51,5,8,0,266000,0,1095,8,192,2006,2006,2006,Grvl,1Fam,TA,Mn,Unf,Unf,Gd,Y,Norm,Norm,SBrkr,TA,VinylSd,VinylSd,Gd,MnPrv,Gd,PConc,Typ,TA,RFn,TA,Attchd,GasA,Gd,2Story,Gd,Lvl,Gtl,Inside,Reg,None,Shed,FV,Somerst,Y,Gd,CompShg,Gable,Partial,New,Pave,AllPub
272,1363,0,0,2,226,1063,1,0,96,0,2,1,439,2,1954.0,1363,0,1,39104,73.0,0,0.0,0,4,20,0,7,7,0,241500,0,1385,5,81,1954,2005,2008,Grvl,1Fam,TA,Gd,LwQ,GLQ,Gd,Y,Norm,Norm,SBrkr,TA,Plywood,Plywood,TA,MnPrv,TA,CBlock,Mod,TA,Unf,TA,Attchd,GasA,Ex,1Story,TA,Low,Sev,CulDSac,IR1,None,Shed,RL,ClearCr,Y,Gd,Membran,Flat,Normal,WD,Pave,AllPub
273,1164,1106,0,4,524,0,0,0,628,0,1,2,671,3,1999.0,2270,1,1,11764,92.0,0,348.0,0,4,60,57,7,8,0,290000,0,1152,9,132,1999,2007,2010,Grvl,1Fam,TA,No,GLQ,Unf,Gd,Y,Norm,Norm,SBrkr,TA,VinylSd,VinylSd,Gd,MnPrv,Gd,PConc,Typ,TA,Fin,TA,Attchd,GasA,Ex,2Story,Gd,Lvl,Gtl,CulDSac,IR1,BrkFace,Shed,RL,NoRidge,Y,Gd,CompShg,Gable,Normal,WD,Pave,AllPub
274,1632,0,0,3,620,620,1,0,0,0,1,2,338,1,1958.0,1632,0,1,9600,80.0,0,183.0,0,4,20,0,6,6,0,139000,0,1240,6,289,1958,1988,2009,Grvl,1Fam,TA,No,Rec,LwQ,TA,Y,Feedr,Norm,SBrkr,TA,Wd Sdng,Wd Sdng,TA,MnPrv,Gd,CBlock,Min1,TA,RFn,TA,Attchd,GasA,Gd,1Story,TA,Lvl,Gtl,Inside,Reg,BrkCmn,Shed,RL,NAmes,Y,Gd,CompShg,Hip,Normal,WD,Pave,AllPub
275,816,0,0,2,546,0,0,0,270,0,0,1,264,1,1982.0,816,0,1,8314,76.0,0,0.0,0,6,20,0,7,5,0,124500,0,816,5,168,1982,1982,2007,Grvl,1Fam,TA,Gd,ALQ,Unf,TA,Y,Norm,Norm,SBrkr,TA,HdBoard,ImStucc,TA,MnPrv,Gd,CBlock,Typ,TA,Unf,TA,Attchd,GasA,TA,1Story,TA,Lvl,Gtl,Corner,Reg,None,Shed,RL,Mitchel,Y,Gd,CompShg,Gable,Normal,WD,Pave,AllPub
276,952,596,0,3,0,0,0,0,952,0,0,2,672,2,1978.0,1548,1,1,7264,55.0,0,0.0,0,10,50,0,7,7,0,205000,144,952,5,74,1925,2007,2009,Grvl,1Fam,TA,No,Unf,Unf,TA,N,Norm,Norm,SBrkr,Gd,Wd Sdng,Wd Sdng,Gd,MnPrv,Gd,BrkTil,Typ,TA,Unf,TA,Detchd,GasW,Gd,1.5Fin,Ex,Lvl,Gtl,Inside,Reg,None,Shed,RL,BrkSide,Y,Gd,CompShg,Gable,Normal,WD,Pave,AllPub
277,1560,0,0,3,0,0,0,0,1560,0,0,2,573,2,2003.0,1560,0,1,9196,129.0,0,0.0,0,4,20,150,5,7,0,201000,0,1560,7,100,2003,2003,2010,Grvl,1Fam,TA,No,Unf,Unf,Ex,Y,Norm,Norm,SBrkr,TA,VinylSd,VinylSd,Gd,MnPrv,Gd,PConc,Typ,TA,Fin,TA,Attchd,GasA,Ex,1Story,Gd,Lvl,Gtl,Inside,IR1,None,Shed,RL,Mitchel,Y,Gd,CompShg,Gable,Normal,WD,Pave,AllPub
278,864,0,0,2,120,0,0,0,744,0,0,1,400,2,1951.0,864,0,1,19138,140.0,0,0.0,0,6,20,0,5,4,0,141000,0,864,4,0,1951,1951,2010,Grvl,1Fam,TA,No,LwQ,Unf,TA,Y,Norm,Norm,SBrkr,TA,VinylSd,VinylSd,TA,MnPrv,Gd,CBlock,Typ,TA,Unf,TA,Detchd,GasA,Ex,1Story,TA,Lvl,Gtl,Corner,Reg,None,Shed,RL,Gilbert,Y,Gd,CompShg,Gable,Normal,WD,Pave,AllPub
279,2121,0,0,3,0,0,0,0,2121,0,1,2,732,3,2007.0,2121,1,1,14450,107.0,0,315.0,0,5,20,98,5,9,0,415298,142,2121,8,124,2006,2007,2007,Grvl,1Fam,TA,Gd,Unf,Unf,Ex,Y,Norm,Norm,SBrkr,TA,CemntBd,CmentBd,Ex,MnPrv,Ex,PConc,Typ,TA,Fin,TA,Attchd,GasA,Ex,1Story,Ex,Lvl,Gtl,Inside,Reg,BrkFace,Shed,RL,NridgHt,Y,Gd,CompShg,Gable,Partial,New,Pave,AllPub
280,1156,866,0,4,392,0,0,0,768,0,1,2,505,2,1977.0,2022,1,1,10005,83.0,0,299.0,0,3,60,117,5,7,0,192000,0,1160,8,288,1977,1977,2008,Grvl,1Fam,TA,No,BLQ,Unf,Gd,Y,Norm,Norm,SBrkr,TA,Plywood,Plywood,TA,MnPrv,TA,CBlock,Typ,TA,Fin,TA,Attchd,GasA,Ex,2Story,TA,Lvl,Gtl,Inside,Reg,BrkFace,Shed,RL,ClearCr,Y,Gd,CompShg,Hip,Normal,WD,Pave,AllPub
281,1175,807,196,3,421,0,0,0,386,0,1,2,575,2,1989.0,1982,1,1,11287,82.0,0,340.0,0,1,60,84,6,7,0,228500,0,807,7,0,1989,1989,2007,Grvl,1Fam,TA,Av,GLQ,Unf,Gd,Y,Norm,Norm,SBrkr,TA,Plywood,Plywood,Gd,MnPrv,TA,CBlock,Typ,TA,Fin,TA,Attchd,GasA,Gd,2Story,Gd,Lvl,Gtl,Inside,Reg,BrkFace,Shed,RL,SawyerW,Y,Gd,CompShg,Gable,Normal,WD,Pave,AllPub
282,1262,0,0,2,905,0,0,0,357,0,0,2,572,2,2006.0,1262,0,1,7200,60.0,0,68.0,0,5,20,120,5,6,0,185000,0,1262,5,0,2006,2006,2006,Pave,1Fam,TA,No,GLQ,Unf,Gd,Y,Norm,Norm,SBrkr,TA,VinylSd,VinylSd,Gd,MnPrv,Gd,PConc,Typ,TA,Fin,TA,Attchd,GasA,Gd,1Story,Gd,Lvl,Gtl,Inside,Reg,Stone,Shed,FV,Somerst,Y,Gd,CompShg,Gable,Partial,New,Pave,AllPub
283,1314,0,0,2,904,0,1,0,410,0,1,2,626,2,2008.0,1314,0,1,5063,34.0,0,166.0,0,4,120,62,5,7,0,207500,0,1314,6,172,2007,2008,2009,Grvl,Twnhs,TA,No,GLQ,Unf,Gd,Y,Norm,Norm,SBrkr,TA,VinylSd,VinylSd,Gd,MnPrv,Gd,PConc,Typ,TA,RFn,TA,Attchd,GasA,Ex,1Story,Gd,Lvl,Gtl,Inside,Reg,Stone,Shed,RL,NridgHt,Y,Gd,CompShg,Gable,Normal,ConLw,Pave,AllPub
284,1468,0,0,3,0,0,0,0,1468,0,1,2,898,3,2008.0,1468,0,1,9612,74.0,0,72.0,0,12,20,150,5,8,0,244600,0,1468,6,210,2008,2009,2009,Grvl,1Fam,TA,No,Unf,Unf,Gd,Y,Feedr,Norm,SBrkr,TA,VinylSd,VinylSd,Gd,MnPrv,Gd,PConc,Typ,TA,Fin,TA,Attchd,GasA,Ex,1Story,Gd,Lvl,Gtl,Inside,Reg,Stone,Shed,RL,Somerst,Y,Gd,CompShg,Gable,Partial,New,Pave,AllPub
